RM,Crop,MAE,MSE,RMSE
1,Winter Wheat,6.336374583919428,74.07070822358318,8.606434117773933
1,Canola,8.900266217542814,113.18765403817741,10.638968654816942
1,Spring Wheat,10.88103921973011,165.21834685201162,12.853728908453439
1,Oats,14.302126178486667,420.74405855679146,20.51204666913547
1,Barley,12.309624466884008,303.89347399527577,17.432540663806748
1,Fall Rye,9.281642431723112,121.82642086118264,11.037500661888208
1,Flax,4.635452603324848,33.067231660328126,5.750411434004364
2,Winter Wheat,9.862218590755944,137.73564497244996,11.736083033638181
2,Canola,7.0444053476892705,69.21589906689339,8.319609309750872
2,Spring Wheat,7.753854183103128,95.84760035054569,9.790178770101479
2,Oats,11.261620851802666,231.94205555151092,15.229643973235584
2,Barley,8.593204557044494,127.03425632650145,11.270947445822886
2,Fall Rye,10.756294841227298,181.3604607396824,13.467013801867228
2,Flax,3.4136629842832416,19.372121932167186,4.401377276735906
3,Winter Wheat,9.665217897037097,127.12160982435184,11.274821942024266
3,Canola,8.84206584356898,106.76027237875327,10.332486263177573
3,Spring Wheat,8.061331058846392,92.32808586798066,9.608750484219094
3,Oats,5.40732581640904,44.920427333275335,6.70227031186264
3,Barley,8.047824411994702,95.48573007602413,9.771680002743855
3,Fall Rye,6.8783987864533485,81.60486526542861,9.03354112546285
3,Flax,3.2334560416429277,14.746024877675367,3.840055322215471
4,Winter Wheat,5.270466619535836,59.63410852994343,7.72231238230774
4,Canola,9.96271170413134,140.34113706611154,11.846566467382502
4,Spring Wheat,11.312426628225113,167.47730224983414,12.941302185245275
4,Oats,11.646928194498948,255.6968800732841,15.990524696622186
4,Barley,7.357105003533188,84.72797260793898,9.204779878299044
4,Fall Rye,6.660682058691801,60.830982346772544,7.79942192388465
4,Flax,3.1722576711642234,16.11737679626283,4.01464528897172
5,Winter Wheat,8.416288392871984,103.54889431423146,10.17589771539747
5,Canola,7.761103928852577,78.41945446802445,8.85547595942897
5,Spring Wheat,5.843843061916584,54.18365785614433,7.36095495544867
5,Oats,29.907224301470432,1081.981845167761,32.893492444065
5,Barley,12.677123542914604,257.71696936910115,16.053565627894045
5,Fall Rye,5.0135108719725245,27.020507565006767,5.198125389504063
5,Flax,3.218876703205451,16.332287357280347,4.041322476279311
6,Winter Wheat,8.172390679410679,124.86721479548824,11.174399974740847
6,Canola,9.15023541820588,109.75110447505205,10.47621613346403
6,Spring Wheat,7.342859762872468,73.29880285854786,8.56147200302307
6,Oats,20.523791488388355,469.7292709712339,21.673238589819334
6,Barley,12.537434886016783,251.7967576882367,15.86810504402579
6,Fall Rye,1.5406796290702192,2.5025118607909738,1.581932950788678
6,Flax,4.351399968962461,29.42973994132711,5.4249184271588
7,Winter Wheat,14.199507221956091,289.3046290560302,17.008957318308205
7,Canola,10.75704551341596,155.74217878151163,12.479670619912676
7,Spring Wheat,9.690006955474296,151.72851065774805,12.317812738378029
